nome,descricao,detalhe_url,inscricao_url,carga_horaria,unidade,modalidade,nivel,area,modal_id
COMPETÊNCIA TRANSVERSAL - LÓGICA DE PROGRAMAÇÃO,Tecnologia da Informação e Informática,"javascript:openModalInfo('Compet%C3%AAncia Transversal - L%C3%B3gica de Programa%C3%A7%C3%A3o' ,95088);",,14 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
DESVENDANDO A BLOCKCHAIN,Tecnologia da Informação e Informática,"javascript:openModalInfo('Desvendando a Blockchain' ,87241);",,20 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
DESVENDANDO O 5G,Tecnologia da Informação e Informática,"javascript:openModalInfo('Desvendando o 5G' ,95993);",,15 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
EXCEL BÁSICO,Tecnologia da Informação e Informática,"javascript:openModalInfo('Excel B%C3%A1sico' ,92632);",,20 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
POR DENTRO DA COMPUTAÇÃO QUÂNTICA,Tecnologia da Informação e Informática,"javascript:openModalInfo('POR DENTRO DA COMPUTA%C3%87%C3%83O QU%C3%82NTICA' ,102884);",,4 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
COMPETÊNCIA TRANSVERSAL - TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,Tecnologia da Informação e Informática,"javascript:openModalInfo('Compet%C3%AAncia Transversal - Tecnologia da Informa%C3%A7%C3%A3o e Comunica%C3%A7%C3%A3o' ,78400);",,14 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
DESVENDANDO DATA CENTERS,Tecnologia da Informação e Informática,"javascript:openModalInfo('Desvendando Data Centers' ,108980);",,20 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
ÉTICA NA INTELIGÊNCIA ARTIFICIAL,Tecnologia da Informação e Informática,"javascript:openModalInfo('%C3%89tica na Intelig%C3%AAncia Artificial' ,103483);",,4 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
FLUÊNCIA - FUNDAMENTOS DA INTELIGÊNCIA ARTIFICIAL,Tecnologia da Informação e Informática,"javascript:openModalInfo('FLU%C3%8ANCIA - FUNDAMENTOS DA INTELIG%C3%8ANCIA ARTIFICIAL' ,106253);",,8 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
POR DENTRO DA SEGURANÇA CIBERNÉTICA,Tecnologia da Informação e Informática,"javascript:openModalInfo('Por dentro da Seguran%C3%A7a Cibern%C3%A9tica' ,102411);",,4 horas SAIBA MAIS,SENAI Santana de Parnaíba,A Distância,Cursos Livres,Tecnologia da Informação e Informática,
